id;name;thumbnail;thumbnail_content_type;description;price
1;Generic Steel Tuna;../fake-data/blob/hipster.png;image/png;website calculating;57374
2;monetize Principal navigate;../fake-data/blob/hipster.png;image/png;wireless Computer;76146
3;reboot deposit Sri Lanka Rupee;../fake-data/blob/hipster.png;image/png;withdrawal Refined Metal Car Division;6255
4;Generic Metal Tuna;../fake-data/blob/hipster.png;image/png;navigating Metical;43291
5;throughput;../fake-data/blob/hipster.png;image/png;Union transmitting;27988
6;withdrawal Bedfordshire;../fake-data/blob/hipster.png;image/png;Credit Card Account;51217
7;intranet;../fake-data/blob/hipster.png;image/png;Ball Australian Dollar;4184
8;Business-focused;../fake-data/blob/hipster.png;image/png;Computer Oklahoma Identity;20520
9;Security;../fake-data/blob/hipster.png;image/png;Data Identity;58781
10;indigo Sports Human;../fake-data/blob/hipster.png;image/png;Personal Loan Account yellow;5182
