id;name;logo;logo_content_type;address;email;phone;description
1;Summit Buckinghamshire Arkansas;../fake-data/blob/hipster.png;image/png;port;Einar.Huel54@yahoo.com;77964;Chips
2;input Intelligent morph;../fake-data/blob/hipster.png;image/png;1080p;Buford89@gmail.com;24081;Money Market Account Face to face
3;copying;../fake-data/blob/hipster.png;image/png;THX red;Dedric.King@hotmail.com;99180;Florida Spurs
4;Station;../fake-data/blob/hipster.png;image/png;Money Market Account;Esteban69@gmail.com;62289;Bedfordshire program
5;Industrial Lead override;../fake-data/blob/hipster.png;image/png;Frozen 5th generation;Gwen_Cormier@gmail.com;65442;architect integrated transmit
6;Granite;../fake-data/blob/hipster.png;image/png;Cayman Islands Dollar Virginia;Dillan.OConner@yahoo.com;46180;Bedfordshire
7;Borders seize Intelligent;../fake-data/blob/hipster.png;image/png;models convergence;Angelica42@hotmail.com;4918;Dong
8;backing up Sleek Steel Bike Generic Wooden Table;../fake-data/blob/hipster.png;image/png;emulation Quality-focused;Dewitt.Borer11@gmail.com;2710;Identity regional
9;Rubber architectures Utah;../fake-data/blob/hipster.png;image/png;systems;Carmen.Yost@gmail.com;91470;override Knoll
10;Granite Arizona Handcrafted Cotton Salad;../fake-data/blob/hipster.png;image/png;Avon;Demario74@gmail.com;30390;Advanced
